nombre_campo,longitud,tipo,nemónico,catálogo,rango_claves,,,
Pregunta P8.3.8 ¿Quién o quiénes saben de su orientación? - Otro no familiar,1,C,p8_3_8,p8_3_8,"1,2",,,
Pregunta P8.3.9 ¿Quién o quiénes saben de su orientación? - Nadie,1,C,p8_3_9,p8_3_9,"1,2",,,
"Pregunta P8.4.1 Cuando sus padres se enteraron de su orientación, ¿alguno de ellos le aceptó, respetó o respaldó?",1,C,p8_4_1,p8_4_1,"1,2",,,
"Pregunta P8.4.2 Cuando sus padres se enteraron de su orientación, ¿alguno de ellos le obligó a asistir con un psicólogo, médico, autoridad religiosa u otra persona o institución con el fin de corregirle?",1,C,p8_4_2,p8_4_2,"1,2",,,
"Pregunta P8.4.3 Cuando sus padres se enteraron de su orientación, ¿alguno de ellos se molestó con usted, le agredió u ofendió, le dejó de hablar o corrió de su casa?",1,C,p8_4_3,p8_4_3,"1,2",,,
"Pregunta P8.5 En los últimos 12 meses, de agosto de 2020 a la fecha, ¿ha sufrido discriminación o menosprecio por su orientación?",1,C,p8_5,p8_5,"1,2,9",,,
Pregunta P9.1 Usted se considera:,1,C,p9_1,p9_1,1...5,,,
Pregunta FILTRO.9.2 Edad de identificación de género,1,C,filtro_9_2,filtro_9_2,"1,2",,,
Pregunta P9.2 ¿A qué edad se dio cuenta que su forma de ser o actuar no correspondía con su sexo de nacimiento?,2,C,p9_2,p9_2,"01...50,99",,,
Pregunta P9.3 ¿Usted se muestra abiertamente (ADECUAR RESPUESTA DE 9.1)?,1,C,p9_3,p9_3,"1,2,9",,,
Pregunta P9.4.1 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Mamá,1,C,p9_4_1,p9_4_1,"1,2,9",,,
Pregunta P9.4.2 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Papá,1,C,p9_4_2,p9_4_2,"1,2,9",,,
Pregunta P9.4.3 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Hermanas(os),1,C,p9_4_3,p9_4_3,"1,2,9",,,
"Pregunta P9.4.4 ¿Quién o quiénes saben que usted se considera (RESPUESTA DE 9.1)? - Esposa(o), pareja",1,C,p9_4_4,p9_4_4,"1,2,9",,,
