p10_2,p4_1,niv,gra,p4_15,p8_5,p9_9,p11_6_08,p11_6_11,p11_4_3,p11_4_5,p11_8_1,p10_1_3,p10_1_5,pd4_10_8,p12_4_3,p12_3_1,p12_3_2
2,64,2,6,,,,2,2,,,,1,1,1,1,2,5
2,36,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,3
1,15,3,3,1.0,9.0,,2,2,2.0,2.0,,1,1,2,2,4,2
2,47,8,4,1.0,,,2,2,2.0,2.0,,2,1,1,2,3,2
1,31,3,3,,,,2,2,,,2.0,2,1,1,3,4,5
2,69,2,6,,,,2,2,,,2.0,1,1,1,1,1,5
1,31,8,5,5.0,,,2,2,2.0,2.0,,1,1,1,2,1,1
2,54,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,1,3
2,60,3,3,,,,2,2,,,,1,1,2,1,2,5
2,43,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,61,2,6,5.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,59,0,0,1.0,,,2,2,,,,1,2,1,1,3,2
2,59,5,3,5.0,,,2,2,2.0,3.0,,1,1,2,1,4,5
2,32,3,3,1.0,,,2,2,2.0,2.0,2.0,2,2,1,2,4,4
2,36,3,3,,,,2,2,,,,2,2,1,1,3,5
2,23,3,3,1.0,,,2,2,,,,1,1,3,1,4,4
2,23,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,4,4
2,62,2,6,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,4
2,35,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,32,6,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,22,3,3,,,,2,2,,,,2,2,1,1,4,5
2,21,3,3,,,,2,2,,,,2,2,1,1,4,5
2,47,2,6,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,48,3,3,1.0,,,2,2,,,,2,2,1,1,4,4
2,59,2,6,5.0,,,2,2,,,,1,1,1,1,1,2
2,21,8,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,3,4
1,25,8,4,1.0,2.0,,2,2,2.0,2.0,,1,1,3,3,4,1
1,20,3,3,,,,2,2,,,,2,1,1,1,4,4
2,16,3,3,,2.0,,2,2,3.0,3.0,,1,2,1,1,3,3
1,31,3,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,3
2,19,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
1,23,8,4,1.0,,,2,2,2.0,2.0,,2,1,2,1,3,4
2,62,6,3,,,,2,2,,,,2,2,1,1,2,5
1,41,6,1,1.0,,,2,2,1.0,2.0,2.0,1,1,1,2,4,4
2,25,3,3,1.0,,,2,2,,,,2,2,2,1,4,4
2,93,3,3,,,,2,2,,,,2,2,1,1,4,5
2,39,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,18,3,3,5.0,,,2,2,2.0,2.0,,2,2,1,2,2,4
2,34,10,2,1.0,,,1,2,2.0,2.0,,2,2,1,1,3,3
2,58,5,3,6.0,2.0,,2,2,,,,2,2,1,1,1,3
2,47,2,6,,,,2,2,,,,2,1,1,1,3,5
2,67,8,5,4.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,45,8,5,1.0,,,2,2,2.0,2.0,,2,1,1,1,3,2
2,38,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,33,8,3,,2.0,,2,2,,,,1,1,2,2,3,4
2,71,10,2,4.0,,,2,2,2.0,2.0,,1,1,1,1,3,4
2,26,3,3,1.0,,,2,2,,,,2,2,1,2,4,3
2,76,2,6,,,,2,2,,,,1,2,1,1,4,5
2,73,8,3,,,,2,2,2.0,2.0,,1,1,2,1,4,5
2,38,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,59,6,2,1.0,,,2,2,1.0,2.0,,2,1,1,1,4,4
2,51,3,3,,,,2,2,2.0,2.0,,2,2,1,1,4,5
2,35,3,3,1.0,,,2,2,,,,2,1,1,2,3,4
2,36,2,6,1.0,1.0,,2,2,2.0,2.0,,2,2,1,1,4,3
2,29,8,5,1.0,,,2,2,3.0,2.0,,1,1,1,2,4,3
2,86,3,3,,,,2,2,,,,2,1,1,1,4,5
1,44,8,5,1.0,,,2,2,2.0,2.0,,1,1,2,1,3,2
2,74,2,6,5.0,,,2,2,,,,1,2,1,1,4,4
2,43,3,3,5.0,,,2,2,2.0,2.0,,2,1,1,1,1,4
2,36,6,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,4
2,43,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,3
2,35,8,3,1.0,,,2,2,2.0,2.0,2.0,2,1,1,2,4,4
2,43,8,4,4.0,,,2,2,2.0,2.0,,1,1,1,1,4,4
2,51,3,3,5.0,,,2,2,3.0,2.0,,2,2,1,1,4,4
2,71,2,6,,,,2,2,,,,2,2,1,1,4,5
2,36,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
1,40,6,3,,,,2,2,,,2.0,1,1,1,3,4,5
2,48,8,4,5.0,,,2,2,,,,2,2,1,1,4,4
2,54,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,44,6,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
1,42,6,3,5.0,,,2,2,,,,1,1,1,1,3,4
2,59,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,24,8,5,,,,2,2,,,,2,2,1,1,4,3
2,65,3,3,,,,2,2,,,,2,1,1,1,4,5
2,19,8,1,,,,2,2,,,,2,2,1,1,3,2
2,28,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,20,8,2,,,,1,2,3.0,3.0,,2,1,1,2,2,2
2,39,8,4,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
1,27,8,5,,2.0,,1,2,,,,1,1,1,1,4,5
2,33,8,4,5.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,68,7,3,,,,2,2,,,,2,2,1,1,4,5
2,77,8,5,5.0,,,2,2,,,,2,2,1,1,1,1
2,27,10,2,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
2,76,5,3,,,,2,2,,,,2,2,1,1,4,5
1,47,10,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,2,1
2,26,8,5,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,3
2,69,2,6,,,,2,2,,,,2,2,1,1,4,5
2,57,2,6,,,,2,2,,,,2,2,1,1,4,5
2,33,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,2
2,42,7,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,4
2,30,8,4,1.0,,,2,2,,,,1,2,1,1,3,3
2,47,6,3,1.0,,,2,2,,,,2,2,1,1,1,2
2,38,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,37,3,3,,9.0,,2,2,,,,2,1,1,1,4,5
1,20,6,2,1.0,,,2,2,1.0,2.0,,1,1,1,1,4,4
2,30,6,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,3
2,50,3,3,5.0,,,2,2,,,,2,2,1,1,4,3
2,19,2,6,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,4
2,15,3,3,,,,2,2,,,2.0,2,2,1,1,3,3
2,49,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
2,56,8,3,,,,2,2,,,,2,2,1,1,3,5
2,61,2,5,,,,2,2,,,,1,2,1,3,4,5
2,62,2,6,1.0,,,2,2,2.0,2.0,2.0,2,2,1,1,3,4
2,25,3,3,,,,2,2,,,,2,1,1,2,4,5
2,62,10,2,5.0,,,2,2,,,,2,2,1,1,2,2
2,56,6,3,,,,2,2,2.0,2.0,,2,2,1,1,4,5
2,22,8,1,,,,2,2,,,,2,2,1,1,4,3
2,21,8,2,,,,2,2,,,,2,2,1,1,3,3
2,32,6,3,5.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,54,6,3,1.0,,,2,2,,,,1,2,1,1,1,1
2,50,6,3,1.0,,,2,2,2.0,1.0,,1,2,1,1,3,2
2,65,3,3,,,,2,2,,,,1,1,1,1,4,5
2,59,5,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,4
2,38,6,3,5.0,,,2,2,2.0,2.0,2.0,2,2,1,1,4,3
2,37,6,3,1.0,2.0,,2,2,,,,2,2,1,1,1,1
2,66,2,6,1.0,,,2,2,3.0,2.0,,1,2,1,1,4,4
1,66,2,6,,,,2,2,,,,1,1,2,4,4,5
2,71,2,3,,,,2,2,,,,2,2,1,1,4,5
2,41,3,3,1.0,,,2,2,,,,2,2,1,1,2,2
2,75,0,0,,,,2,2,,,,2,2,1,3,5,5
2,61,2,6,,,,2,2,,,,1,2,1,1,4,5
2,28,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,4,4,4
2,35,6,3,5.0,,,2,2,,,,2,2,1,1,4,5
2,56,3,3,5.0,,,2,2,3.0,2.0,,1,1,1,1,4,4
2,62,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,53,6,3,1.0,1.0,,1,2,2.0,2.0,,2,2,1,1,3,2
2,53,3,3,,,,2,2,,,,2,2,1,3,4,5
2,22,8,3,1.0,,,1,2,3.0,3.0,,1,1,1,3,3,2
2,47,8,5,1.0,,,2,2,2.0,2.0,,1,1,1,1,4,3
2,65,2,6,,,,2,2,,,2.0,2,2,2,2,4,5
2,41,3,3,1.0,,,2,2,2.0,2.0,,2,1,1,1,4,3
2,31,8,2,1.0,,,2,2,1.0,2.0,,2,1,1,1,3,3
1,20,6,3,1.0,,,2,2,2.0,2.0,,1,2,1,1,4,3
2,25,3,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,1,2
2,32,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,3,3
1,48,6,2,1.0,2.0,,1,2,1.0,1.0,,1,1,1,2,2,4
2,22,6,3,1.0,,,2,2,2.0,2.0,,2,2,1,2,2,1
2,40,6,3,1.0,,,2,2,,,,2,2,1,2,3,3
2,39,2,6,1.0,1.0,,2,2,2.0,2.0,,2,2,1,1,4,4
2,16,6,1,,2.0,,2,2,2.0,2.0,,1,1,2,1,4,1
2,70,2,6,,,,2,2,,,,1,1,1,3,3,5
2,49,3,2,,,9.0,2,2,,,,2,2,1,1,4,5
2,36,2,5,,,,2,2,2.0,2.0,,2,1,2,1,1,4
2,42,6,1,5.0,,,2,2,,,,2,2,1,1,3,1
2,52,3,3,5.0,,,2,2,2.0,2.0,2.0,2,1,1,1,3,1
2,50,3,3,5.0,,,2,2,,,,2,2,1,1,4,4
2,44,2,6,1.0,,,2,2,,,2.0,2,2,2,2,4,4
2,23,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,1,3,3
2,55,6,3,1.0,,,2,2,,,2.0,1,2,1,2,2,1
2,77,3,1,,,,2,2,,,,2,2,1,1,5,5
2,32,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,3
1,63,8,5,5.0,,,2,2,,,,1,2,1,1,3,4
2,59,8,5,1.0,,,2,2,2.0,2.0,,2,2,1,1,2,2
2,59,10,2,1.0,,,2,2,2.0,2.0,,1,2,1,1,2,2
2,61,3,3,,,,2,2,,,,1,1,1,2,4,5
1,38,3,3,1.0,2.0,,2,2,2.0,2.0,,1,1,1,1,2,3
2,84,2,6,,,,2,2,,,,2,1,1,1,4,5
2,52,3,3,1.0,,,2,2,1.0,2.0,,1,2,2,2,3,3
2,29,8,3,1.0,,,2,2,2.0,2.0,,2,2,1,1,4,4
2,47,3,3,1.0,,,2,2,,,,2,2,1,1,1,5
2,46,3,3,1.0,,,2,2,2.0,2.0,,1,1,1,2,4,4
2,70,2,4,,,,2,2,,,,2,1,2,3,5,5
2,25,8,3,,,,2,2,,,,2,2,1,2,4,4
2,75,2,6,,,,2,2,,,,2,2,1,1,4,5
2,65,2,6,,,,2,2,,,,2,2,1,1,4,5
2,58,2,6,5.0,2.0,,2,2,,,,2,2,1,2,4,4
1,19,6,3,,2.0,,2,2,3.0,3.0,,1,1,2,2,4,5
2,34,8,4,5.0,,,2,2,2.0,2.0,,2,1,1,1,3,3
